t_ms,blink_left,blink_right,blink_mean,gaze_dx,gaze_dy,mouth_open,brow_left,brow_right,brow_mean,iris_r_left,iris_r_right,iris_r_mean,gconf_left,gconf_right,gconf_mean
1760904736204.181,0.000000,0.000000,0.000000,0.391704,-0.191452,0.001756,1.000000,1.000000,1.000000,0.128957,0.049214,0.089086,1.000000,1.000000,1.000000
1760904736271.925,0.000000,0.039626,0.019813,0.372512,-0.118821,0.003513,1.000000,1.000000,1.000000,0.119101,0.061105,0.090103,1.000000,1.000000,1.000000
1760904736336.384,0.000000,0.000000,0.000000,0.336383,-0.095613,0.002691,1.000000,1.000000,1.000000,0.106021,0.063129,0.084575,1.000000,1.000000,1.000000
1760904736403.882,0.000000,0.048254,0.024127,0.265598,-0.132162,0.006275,1.000000,1.000000,1.000000,0.102713,0.061271,0.081992,1.000000,1.000000,1.000000
1760904736471.880,0.000000,0.132932,0.066466,0.430561,-0.189962,0.000278,1.000000,1.000000,1.000000,0.129758,0.046406,0.088082,1.000000,1.000000,1.000000
1760904736535.975,0.000000,0.000000,0.000000,0.434961,-0.090903,0.004042,1.000000,1.000000,1.000000,0.116139,0.048512,0.082325,1.000000,1.000000,1.000000
1760904736604.119,0.000000,0.013248,0.006624,0.500000,-0.140707,0.019825,1.000000,1.000000,1.000000,0.171589,0.054013,0.112801,1.000000,1.000000,1.000000
1760904736672.101,0.000000,0.027492,0.013746,0.413999,-0.124689,0.002156,1.000000,1.000000,1.000000,0.122818,0.051983,0.087401,1.000000,1.000000,1.000000
1760904736735.872,0.000000,0.000000,0.000000,0.500000,-0.091764,0.004109,1.000000,1.000000,1.000000,0.138200,0.051336,0.094768,1.000000,1.000000,1.000000
1760904736804.128,0.000000,0.000000,0.000000,0.500000,-0.142946,0.002726,1.000000,1.000000,1.000000,0.134377,0.051975,0.093176,1.000000,1.000000,1.000000
1760904736871.893,0.000000,0.000000,0.000000,0.500000,-0.132581,0.001963,1.000000,1.000000,1.000000,0.137243,0.042782,0.090013,1.000000,1.000000,1.000000
1760904736936.506,0.000000,0.000000,0.000000,0.474474,-0.070752,0.005096,1.000000,1.000000,1.000000,0.125532,0.055340,0.090436,1.000000,1.000000,1.000000
1760904737004.187,0.000000,0.000000,0.000000,0.500000,-0.092056,0.005614,1.000000,1.000000,1.000000,0.135407,0.056791,0.096099,1.000000,1.000000,1.000000
1760904737072.106,0.000000,0.000000,0.000000,0.500000,-0.103721,0.005704,1.000000,1.000000,1.000000,0.131496,0.056922,0.094209,1.000000,1.000000,1.000000
1760904737136.542,0.000000,0.000000,0.000000,0.500000,-0.086115,0.005516,1.000000,1.000000,1.000000,0.133775,0.051345,0.092560,1.000000,1.000000,1.000000
1760904737204.188,0.000000,0.000000,0.000000,0.500000,-0.142734,0.006177,1.000000,1.000000,1.000000,0.138239,0.057421,0.097830,1.000000,1.000000,1.000000
1760904737272.350,0.000000,0.025138,0.012569,0.500000,-0.116523,0.002516,1.000000,1.000000,1.000000,0.140002,0.068823,0.104412,1.000000,1.000000,1.000000
1760904737336.443,0.000000,0.007596,0.003798,0.500000,-0.143700,0.003224,1.000000,1.000000,1.000000,0.161823,0.063973,0.112898,1.000000,1.000000,1.000000
1760904737403.959,0.000000,0.000000,0.000000,0.500000,-0.112285,0.007106,1.000000,1.000000,1.000000,0.162072,0.064237,0.113155,1.000000,1.000000,1.000000
